Code station	Nom station	Secteur de la station	AASQA	Code ZAS	Nom ZAS	Type ZAS	Région	Code commune	Commune	Population commune	Unité urbaine	Population unité urbaine	Type unité urbaine	Latitude	Longitude	NO2	PM10	PM2.5	SO2	O3	C6H6	CO	As dans les  PM10	BaP dans les PM10	Cd dans les PM10	Ni dans les PM10	Pb dans les PM10
FR31026	TARTAS Pelletrin	périurbaine	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	40313	 TARTAS 	3242	 TARTAS 	3242	agglomération	43,838333	-0,810833		industrielle		industrielle								
FR31033	PERIGUEUX	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	24322	 PÉRIGUEUX 	30060	 PÉRIGUEUX 	65341	agglomération	45,18972	0,727222	fond	fond	fond		fond							
FR31036	DAX	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	40088	 DAX 	20762	 DAX 	50573	agglomération	43,704723	-1,038611	fond	fond	fond		fond							
FR31039	PAU TOURASSE	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	64445	 PAU 	76275	 PAU 	200401	agglomération	43,31109	-0,352119	trafic	trafic										
FR31040	MARMANDE	périurbaine	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	47157	 MARMANDE 	17534	 MARMANDE 	28627	agglomération	44,508656	0,142503	trafic	trafic	trafic									
FR31041	MONT DE MARSAN	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	40192	 MONT-DE-MARSAN 	29683	 MONT-DE-MARSAN 	39308	agglomération	43,8961	-0,491403	trafic	trafic	trafic									
FR31043	Biarritz-hippodrome	périurbaine	ATMO NOUVELLE-AQUITAINE	FR75ZRE01	ZR NOUVELLE-AQUITAINE	ZRE	NOUVELLE-AQUITAINE	64122	 BIARRITZ 	25532	 BAYONNE (PARTIE FRANÇAISE) 	254519	agglomération	43,47024	-1,553843	fond	fond	fond		fond							
FR31045	Bordeaux_GAUTIER	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZAG01	ZAG BORDEAUX	ZAG	NOUVELLE-AQUITAINE	33063	 BORDEAUX 	257068	 BORDEAUX 	969897	agglomération	44,83383	-0,59853	trafic	trafic	trafic			trafic						
FR32001	Chalon Centre Ville	urbaine	ATMO BOURGOGNE-FRANCHE-COMTE	FR27ZAR04	ZAR CHALON	ZAR	BOURGOGNE-FRANCHE-COMTE	71076	 CHALON-SUR-SAÔNE 	44810	 CHALON-SUR-SAÔNE 	79405	agglomération	46,782311	4,847322	trafic	trafic	trafic			trafic						
FR32002	Champforgueil	périurbaine	ATMO BOURGOGNE-FRANCHE-COMTE	FR27ZAR04	ZAR CHALON	ZAR	BOURGOGNE-FRANCHE-COMTE	71081	 CHAMPFORGEUIL 	2580	 CHALON-SUR-SAÔNE 	79405	agglomération	46,821056	4,835083	fond	fond			fond			fond		fond	fond	fond
FR32005	Montceau-les-Mines 9me écluse	urbaine	ATMO BOURGOGNE-FRANCHE-COMTE	FR27ZRE01	ZR BOURGOGNE-FRANCHE-COMTE	ZRE	BOURGOGNE-FRANCHE-COMTE	71306	 MONTCEAU-LES-MINES 	17897	 MONTCEAU-LES-MINES 	37816	agglomération	46,678785	4,366893	fond	fond										
FR32006	Macon Paul Bert	périurbaine	ATMO BOURGOGNE-FRANCHE-COMTE	FR27ZRE01	ZR BOURGOGNE-FRANCHE-COMTE	ZRE	BOURGOGNE-FRANCHE-COMTE	71270	MÂCON	33810	MÂCON	60503	agglomération	46,316172	4,839994	fond	fond			fond							
FR32007	Le Creusot Molette	urbaine	ATMO BOURGOGNE-FRANCHE-COMTE	FR27ZRE01	ZR BOURGOGNE-FRANCHE-COMTE	ZRE	BOURGOGNE-FRANCHE-COMTE	71153	LE CREUSOT	21491	LE CREUSOT	32578	agglomération	46,802375	4,417486			fond		fond							
